year,country,image_url,region_code,region,gdp_per_capita,family,social_support,health_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2017,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,19.0,Americas,1.109706283,1.416403651,,0.759509265,0.58013165,0.214613229,
2015,Croatia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,150.0,Europe,1.08254,0.79624,,0.78805,0.25883,0.05444,
2018,Croatia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,150.0,Europe,1.115,,1.161,0.737,0.38,0.12,0.039
2019,Croatia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,150.0,Europe,1.155,,1.266,0.914,0.296,0.119,0.022
2016,Croatia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,150.0,Europe,1.18649,0.60809,,0.70524,0.23907,0.18434,
2017,Croatia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,150.0,Europe,1.222556233,0.967983007,,0.701288521,0.255772293,0.248002976,
2015,Cyprus,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,142.0,Asia,1.20813,0.89318,,0.92356,0.40672,0.30638,
2018,Cyprus,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,142.0,Asia,1.229,,1.191,0.909,0.423,0.202,0.035
2019,Cyprus,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,142.0,Asia,1.263,,1.223,1.042,0.406,0.19,0.041
2016,Cyprus,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,142.0,Asia,1.31857,0.70697,,0.8488,0.29507,0.27906,
2017,Cyprus,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,142.0,Asia,1.355938077,1.131363273,,0.844714701,0.355111539,0.271254301,
2015,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,150.0,Europe,1.17898,1.20643,,0.84483,0.46364,0.10686,
2018,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,150.0,Europe,1.233,,1.489,0.854,0.543,0.064,0.034
2019,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,150.0,Europe,1.269,,1.487,0.92,0.457,0.046,0.036
2016,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,150.0,Europe,1.30915,1.00793,,0.76376,0.41418,0.09929,
2017,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,150.0,Europe,1.352682352,1.433885217,,0.754444003,0.490946174,0.088106759,
2015,Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,150.0,Europe,1.32548,1.36058,,0.87464,0.64938,0.34139,
2018,Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,150.0,Europe,1.351,,1.59,0.868,0.683,0.284,0.408
2019,Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,150.0,Europe,1.383,,1.573,0.996,0.592,0.252,0.41
2016,Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,150.0,Europe,1.44178,1.16374,,0.79504,0.57941,0.36171,
2017,Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,150.0,Europe,1.482383013,1.551121593,,0.792565525,0.626006722,0.355280489,
2015,Djibouti,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,2.0,Africa,0.44025,0.59207,,0.36291,0.46074,0.18093,
2015,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19.0,Americas,0.89537,1.17202,,0.66825,0.57672,0.21684,
2018,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19.0,Americas,0.982,,1.441,0.614,0.578,0.12,0.106
2019,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19.0,Americas,1.015,,1.401,0.779,0.497,0.113,0.101
2016,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19.0,Americas,1.02787,0.99496,,0.57669,0.52259,0.21286,
2017,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19.0,Americas,1.079373837,1.402416706,,0.574873745,0.552589834,0.18696785,
2015,Ecuador,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,19.0,Americas,0.86402,0.99903,,0.79075,0.48574,0.11541,
2018,Ecuador,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,19.0,Americas,0.889,,1.33,0.736,0.556,0.114,0.12
2019,Ecuador,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,19.0,Americas,0.912,,1.312,0.868,0.498,0.126,0.087
2016,Ecuador,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,19.0,Americas,0.97306,0.85974,,0.68613,0.4027,0.10074,
2017,Ecuador,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,19.0,Americas,1.000820398,1.286168814,,0.685636222,0.455198199,0.150112465,
2015,Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,2.0,Africa,0.8818,0.747,,0.61712,0.17288,0.11291,
2018,Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,2.0,Africa,0.885,,1.025,0.553,0.312,0.092,0.107
2019,Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,2.0,Africa,0.913,,1.039,0.644,0.241,0.076,0.067
2016,Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,2.0,Africa,0.95395,0.49813,,0.52116,0.18847,0.12706,
2017,Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,2.0,Africa,0.989701807,0.997471392,,0.520187259,0.282110155,0.128631443,
2015,El Salvador,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,19.0,Americas,0.76454,1.02507,,0.67737,0.4035,0.10692,
2019,El Salvador,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,19.0,Americas,0.794,,1.242,0.789,0.43,0.093,0.074
2018,El Salvador,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,19.0,Americas,0.806,,1.231,0.639,0.461,0.065,0.082
2016,El Salvador,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,19.0,Americas,0.8737,0.80975,,0.596,0.37269,0.08877,
2017,El Salvador,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,19.0,Americas,0.909784496,1.182125092,,0.596018553,0.43245253,0.078257985,
2015,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,150.0,Europe,1.15174,1.22791,,0.77361,0.44888,0.0868,
2018,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,150.0,Europe,1.2,,1.532,0.737,0.553,0.086,0.174
2019,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,150.0,Europe,1.237,,1.528,0.874,0.495,0.103,0.161
2016,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,150.0,Europe,1.27964,1.05163,,0.68098,0.41511,0.08423,
2017,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,150.0,Europe,1.32087934,1.4766711,,0.695168316,0.47913143,0.098890811,
2015,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,2.0,Africa,0.19073,0.60406,,0.44055,0.4345,0.24325,
2016,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,2.0,Africa,0.29283,0.37932,,0.34578,0.36703,0.29522,
2018,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,2.0,Africa,0.308,,0.95,0.391,0.452,0.22,0.146
2019,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,2.0,Africa,0.336,,1.033,0.532,0.344,0.209,0.1
2017,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,2.0,Africa,0.339233845,0.864669204,,0.353409708,0.408842742,0.31265074,
2015,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,150.0,Europe,1.29025,1.31826,,0.88911,0.64169,0.23351,
2018,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,150.0,Europe,1.305,,1.592,0.874,0.681,0.202,0.393
2019,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,150.0,Europe,1.34,,1.587,0.986,0.596,0.153,0.393
2016,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,150.0,Europe,1.40598,1.13464,,0.81091,0.57104,0.25492,
2017,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,150.0,Europe,1.443571925,1.540246725,,0.80915767,0.617950857,0.245482773,
2015,France,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,150.0,Europe,1.27778,1.26038,,0.94579,0.55011,0.12332,
2018,France,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,150.0,Europe,1.293,,1.466,0.908,0.52,0.098,0.176
2019,France,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,150.0,Europe,1.324,,1.472,1.045,0.436,0.111,0.183
2016,France,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,150.0,Europe,1.39488,1.00508,,0.83795,0.46562,0.1216,
2017,France,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,150.0,Europe,1.430923462,1.387776852,,0.844465852,0.470222116,0.129762307,
2018,Gabon,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,2.0,Africa,1.036,,1.164,0.404,0.356,0.032,0.052
2019,Gabon,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,2.0,Africa,1.057,,1.183,0.571,0.295,0.043,0.055
2015,Gabon,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,2.0,Africa,1.06024,0.90528,,0.43372,0.31914,0.06822,
2016,Gabon,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,2.0,Africa,1.15851,0.72368,,0.3494,0.28098,0.06244,
2017,Gabon,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,2.0,Africa,1.198210239,1.155620217,,0.356578588,0.312328577,0.043785378,
2015,Georgia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,142.0,Asia,0.7419,0.38562,,0.72926,0.40577,0.05547,
2016,Georgia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,142.0,Asia,0.83792,0.19249,,0.64035,0.32461,0.06786,
2018,Georgia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,142.0,Asia,0.853,,0.592,0.643,0.375,0.038,0.215
2019,Georgia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,142.0,Asia,0.886,,0.666,0.752,0.346,0.043,0.164
2017,Georgia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,142.0,Asia,0.950612664,0.570614934,,0.649546981,0.309410036,0.054008815,
2015,Germany,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,150.0,Europe,1.32792,1.29937,,0.89186,0.61477,0.28214,
2018,Germany,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,150.0,Europe,1.34,,1.474,0.861,0.586,0.273,0.28
2019,Germany,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,150.0,Europe,1.373,,1.454,0.987,0.495,0.261,0.265
2016,Germany,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,150.0,Europe,1.44787,1.09774,,0.81487,0.53466,0.30452,
2017,Germany,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,150.0,Europe,1.487923384,1.472520351,,0.798950732,0.562511384,0.33626917,
2015,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,2.0,Africa,0.54558,0.67954,,0.40132,0.42342,0.23087,
2018,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,2.0,Africa,0.592,,0.896,0.337,0.499,0.212,0.029
2019,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,2.0,Africa,0.611,,0.868,0.486,0.381,0.245,0.04
2016,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,2.0,Africa,0.63107,0.49353,,0.29681,0.40973,0.21203,
2017,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,2.0,Africa,0.667224824,0.873664737,,0.295637727,0.423026294,0.256923944,
2018,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,150.0,Europe,1.154,,1.202,0.879,0.131,0.0,0.044
2015,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,150.0,Europe,1.15406,0.92933,,0.88213,0.07699,0.0,
2019,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,150.0,Europe,1.181,,1.156,0.999,0.067,0.0,0.034
2016,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,150.0,Europe,1.24886,0.75473,,0.80029,0.05822,0.0,
2017,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,150.0,Europe,1.289487481,1.239414573,,0.810198903,0.095731251,0.0,
2015,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,19.0,Americas,0.74553,1.04356,,0.64425,0.57733,0.27489,
2018,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,19.0,Americas,0.781,,1.268,0.608,0.604,0.179,0.071
2019,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,19.0,Americas,0.8,,1.269,0.746,0.535,0.175,0.078
2016,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,19.0,Americas,0.83454,0.87119,,0.54039,0.50379,0.28808,
2017,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,19.0,Americas,0.872001946,1.255585194,,0.54023999,0.531310618,0.283488393,
2015,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,2.0,Africa,0.17417,0.46475,,0.24009,0.37725,0.28657,
2016,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,2.0,Africa,0.22415,0.3109,,0.18829,0.30953,0.29914,
2017,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,2.0,Africa,0.24454993,0.791244686,,0.194129139,0.348587513,0.264815092,
2018,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,2.0,Africa,0.344,,0.792,0.211,0.394,0.185,0.094
2019,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,2.0,Africa,0.38,,0.829,0.375,0.332,0.207,0.086
2015,Haiti,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,19.0,Americas,0.26673,0.74302,,0.38847,0.24425,0.46187,
2018,Haiti,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,19.0,Americas,0.315,,0.714,0.289,0.025,0.392,0.104
2019,Haiti,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,19.0,Americas,0.323,,0.688,0.449,0.026,0.419,0.11
2016,Haiti,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,19.0,Americas,0.34097,0.29561,,0.27494,0.12072,0.47958,
2017,Haiti,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,19.0,Americas,0.368610263,0.640449822,,0.27732113,0.030369857,0.489203781,
2015,Honduras,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19.0,Americas,0.59532,0.95348,,0.6951,0.40148,0.23027,
2018,Honduras,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19.0,Americas,0.62,,1.205,0.622,0.459,0.197,0.074
2019,Honduras,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19.0,Americas,0.642,,1.236,0.828,0.507,0.246,0.078
2016,Honduras,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19.0,Americas,0.69429,0.75596,,0.58383,0.26755,0.2044,
2017,Honduras,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19.0,Americas,0.730573118,1.143944979,,0.58256948,0.34807986,0.236188874,
2015,Hungary,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,150.0,Europe,1.12094,1.20215,,0.75905,0.32112,0.128,
2018,Hungary,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,150.0,Europe,1.171,,1.401,0.732,0.259,0.061,0.022
2019,Hungary,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,150.0,Europe,1.201,,1.41,0.828,0.199,0.081,0.02
2016,Hungary,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,150.0,Europe,1.24142,0.93164,,0.67608,0.1977,0.099,
2017,Hungary,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,150.0,Europe,1.286011934,1.343133092,,0.687763453,0.175863519,0.078401662,
2015,Iceland,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,150.0,Europe,1.30232,1.40223,,0.94784,0.62877,0.4363,
2018,Iceland,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,150.0,Europe,1.343,,1.644,0.914,0.677,0.353,0.138
2019,Iceland,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,150.0,Europe,1.38,,1.624,1.026,0.591,0.354,0.118
2016,Iceland,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,150.0,Europe,1.42666,1.18326,,0.86733,0.56624,0.47678,
2017,Iceland,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,150.0,Europe,1.48063302,1.610574007,,0.833552122,0.627162635,0.475540221,
2015,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,142.0,Asia,0.64499,0.38174,,0.51529,0.39786,0.26475,
2018,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,142.0,Asia,0.721,,0.747,0.485,0.539,0.172,0.093
2016,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,142.0,Asia,0.74036,0.29247,,0.45091,0.40285,0.25028,
2019,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,142.0,Asia,0.755,,0.765,0.588,0.498,0.2,0.085
2017,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,142.0,Asia,0.792221248,0.754372597,,0.455427617,0.469987005,0.231538489,
2015,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,142.0,Asia,0.82827,1.08708,,0.63793,0.46611,0.51535,
2018,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,142.0,Asia,0.899,,1.215,0.522,0.538,0.484,0.018
2019,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,142.0,Asia,0.931,,1.203,0.66,0.491,0.498,0.028
2016,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,142.0,Asia,0.95104,0.87625,,0.49374,0.39237,0.56521,
2017,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,142.0,Asia,0.995538592,1.274444699,,0.492345721,0.443323463,0.611704588,
2015,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,142.0,Asia,1.0088,0.54447,,0.69805,0.30033,0.38086,
2018,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,142.0,Asia,1.059,,0.771,0.691,0.459,0.282,0.129
2019,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,142.0,Asia,1.1,,0.842,0.785,0.305,0.27,0.125
2016,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,142.0,Asia,1.11758,0.38857,,0.64232,0.22544,0.38538,
2017,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,142.0,Asia,1.156873107,0.711551249,,0.639333189,0.249322608,0.387242913,
2015,Iraq,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,142.0,Asia,0.98549,0.81889,,0.60237,0.0,0.17922,
2018,Iraq,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,142.0,Asia,1.01,,0.971,0.536,0.304,0.148,0.095
2019,Iraq,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,142.0,Asia,1.043,,0.98,0.574,0.241,0.148,0.089
2016,Iraq,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,142.0,Asia,1.07474,0.59205,,0.51076,0.24856,0.19589,
2017,Iraq,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,142.0,Asia,1.102710485,0.978613198,,0.50118047,0.288555533,0.199637264,
2015,Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,150.0,Europe,1.33596,1.36948,,0.89533,0.61777,0.45901,
2018,Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,150.0,Europe,1.448,,1.583,0.876,0.614,0.307,0.306
2016,Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,150.0,Europe,1.48341,1.16157,,0.81455,0.54008,0.44963,
2019,Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,150.0,Europe,1.499,,1.553,0.999,0.516,0.298,0.31
2017,Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,150.0,Europe,1.535706639,1.558231115,,0.809782624,0.573110342,0.427858323,
2015,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,142.0,Asia,1.22857,1.22393,,0.91387,0.41319,0.33172,
2019,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,142.0,Asia,1.276,,1.455,1.029,0.371,0.261,0.082
2018,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,142.0,Asia,1.301,,1.559,0.883,0.533,0.354,0.272
2016,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,142.0,Asia,1.33766,0.99537,,0.84917,0.36432,0.32288,
2017,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,142.0,Asia,1.375382423,1.376289964,,0.838404,0.405988604,0.330082655,
2015,Italy,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,150.0,Europe,1.25114,1.19777,,0.95446,0.26236,0.22823,
2018,Italy,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,150.0,Europe,1.264,,1.501,0.946,0.281,0.137,0.028
2019,Italy,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,150.0,Europe,1.294,,1.488,1.039,0.231,0.158,0.03
2016,Italy,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,150.0,Europe,1.35495,1.04167,,0.85102,0.18827,0.16684,
2017,Italy,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,150.0,Europe,1.395066619,1.444923282,,0.853144348,0.256450713,0.172789648,
2015,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,,,0.46534,0.77115,,0.15185,0.46866,0.20165,
2018,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,,,0.541,,0.872,0.08,0.467,0.146,0.103
2016,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,,,0.55507,0.57576,,0.04476,0.40663,0.20338,
2019,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,,,0.569,,0.808,0.232,0.352,0.154,0.09
2017,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,,,0.603048921,0.90478003,,0.04864217,0.447706193,0.20123747,
2015,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,19.0,Americas,0.81038,1.15102,,0.68741,0.50442,0.2123,
2018,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,19.0,Americas,0.819,,1.493,0.693,0.575,0.096,0.031
2019,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,19.0,Americas,0.831,,1.478,0.831,0.49,0.107,0.028
2016,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,19.0,Americas,0.89333,0.96372,,0.59469,0.43597,0.22245,
2017,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,19.0,Americas,0.925579309,1.368218064,,0.641022384,0.474307239,0.233818337,
2015,Japan,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,142.0,Asia,1.27074,1.25712,,0.99111,0.49615,0.10705,
2018,Japan,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,142.0,Asia,1.294,,1.462,0.988,0.553,0.079,0.15
2019,Japan,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,142.0,Asia,1.327,,1.419,1.088,0.445,0.069,0.14
