year,country,image_url,region_code,region,gdp_per_capita,family,social_support,health_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2016,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150.0,Europe,1.45038,1.08383,,0.80565,0.54355,0.32865,
2017,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150.0,Europe,1.487097263,1.459944963,,0.815328419,0.56776619,0.316472322,
2015,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142.0,Asia,1.02389,0.93793,,0.64045,0.3703,0.07799,
2018,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142.0,Asia,1.024,,1.161,0.603,0.43,0.031,0.176
2019,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142.0,Asia,1.043,,1.147,0.769,0.351,0.035,0.182
2016,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142.0,Asia,1.12373,0.76042,,0.54504,0.35327,0.0564,
2017,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142.0,Asia,1.153601766,1.152400255,,0.540775776,0.398155838,0.04526934,
2015,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142.0,Asia,1.32376,1.21624,,0.74716,0.45492,0.17362,
2018,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142.0,Asia,1.338,,1.366,0.698,0.594,0.243,0.123
2019,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142.0,Asia,1.362,,1.368,0.871,0.536,0.255,0.11
2016,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142.0,Asia,1.44024,0.94397,,0.65696,0.47375,0.17147,
